"Date","Avg_PM2.5","Location_I","Name","Latitude","Longitude","Category"
2020-01-01,2.25217391304348,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-02,3.2,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-03,3.37916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-04,2.92916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-05,2.71666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-06,2.52083333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-07,2.0625,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-08,2.24166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-09,5.26666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-10,3.3375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-11,2.58333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-12,1.9375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-13,1.80416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-14,3.29583333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-15,5.70833333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-16,6.87916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-17,4.62916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-18,4.5125,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-19,6.71666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-20,11.8208333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-21,3.86666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-22,2.04166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-23,1.9375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-24,4.55,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-25,3.4625,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-26,2.40833333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-27,3.14166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-28,1.85416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-29,3.06666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-30,3.13333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-01-31,2.38333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-01,2.4875,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-02,5.77083333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-03,6.9,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-04,8.40833333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-05,2.20416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-06,1.57083333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-07,1.70416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-08,4.475,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-09,15.4666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Moderate"
2020-02-10,13.8458333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Moderate"
2020-02-11,14.9166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Moderate"
2020-02-12,14.0458333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Moderate"
2020-02-13,6.1875,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-14,2.7375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-15,2.55416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-16,2.91666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-17,4.26666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-18,4.82916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-19,4.3125,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-20,8.86666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-21,15.2791666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Moderate"
2020-02-22,13.1291666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Moderate"
2020-02-23,4.28333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-24,5.49166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-25,7.38333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-26,8.77916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-27,10.1791666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-28,7.76666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-02-29,3.36666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-01,6.66666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-02,5.1625,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-03,2.7375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-04,6.67083333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-05,8.11666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-06,3.075,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-07,2.60833333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-08,7.77083333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-09,10.8166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-10,8.10416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-11,5.32916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-12,3.5875,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-13,4.25833333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-14,2.45416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-15,2.92083333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-16,3.375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-17,5.24166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-18,5.39166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-19,8.14583333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-20,7.03333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-21,8.10833333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-22,8.3,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-23,2.55416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-24,1.99583333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-25,3.40416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-26,4.67916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-27,5.4125,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-28,4.9875,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-29,2.11666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-30,1.84166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-03-31,2.02916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-01,2.47916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-02,3.37916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-03,4.84583333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-04,4.45416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-05,4.3625,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-06,3.02916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-07,5.23333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-08,7.0125,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-09,6.22083333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-10,4.79583333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-11,4.13333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-12,5.18333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-13,5.00416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-14,4.88333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-15,4.2375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-16,2.74166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-17,3.57083333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-18,4.4375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-19,5.45416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-20,5.4125,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-21,3.20416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-22,3.05833333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-23,2.82916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-24,NA,11,"Albany Calapooia School",44.61569,-123.091457,NA
2020-04-25,2.94166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-26,4.07916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-27,2.0375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-28,2.74166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-29,3.1375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-04-30,2.56666666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-01,4.15416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-02,3.7,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-03,2.9375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-04,3.72083333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-05,3.44166666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-06,2.4,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-07,2.95833333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-08,2.575,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-09,3.60416666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-10,4.57083333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-11,4.4375,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-12,3.42916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-13,2.17916666666667,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
2020-05-14,2.18333333333333,11,"Albany Calapooia School",44.61569,-123.091457,"Good"
